"DoodleYear","DoodleDay","January","February","March","April","May","June","July","August","September","October","November","December"
2013,27,,"Dominican Republic Independence Day 2013",,"South African Freedom Day 2013",,,,"Natalia Sats's 110th Birthday","Google's 15th Birthday",,,"Johannes Kepler's 442nd Birthday"
2013,28,,,,,,,"Peru Independence Day 2013","50th Anniversary of the ""I Have a Dream"" Speech","Teacher's Day 2013 (Taiwan)","Edith Head's 116th Birthday","Thanksgiving 2013",
2013,29,,,,,"Leah Goldberg's 102nd Birthday","The 100th Tour de France","National Thai Language Day",,"Austria Elections 2013","Republic Day Turkey 2013",,
2013,30,"Leonid Gaidai's 90th Birthday",,,"Queens Day 2013","Potato Day 2013","Herta Heuwer's 100th Birthday",,,,"Agustin Lara's 113th Birthday (latam)","Saint Andrew's Day 2013","Daniil Kharms' 108th Birthday"
2013,31,"Jackie Robinson's 94th Birthday",,"Shoshana Damari's 90th Birthday",,"Julius Richard Petri's 161st Birthday",,,"Hari Merdeka/Malaysia Independence Day 2013",,"Halloween 2013",,"New Year's Eve 2013"
2014,1,"New Year's Day 2014","Celebrating Harriet Tubman","St. David's Day 2014",,"Spring and Labor Day - Russia","Children's Day 2014","World Cup 2014 #47","Swiss National Day 2014","First Day of School 2014","Nigeria Independence Day 2014","Mariquita Sanchez de Thompson's 228th Birthday","Romanian National Day 2014"
2014,2,,,,,"Ichiyo Higuchi's 142nd Birthday","Republic Day Italy 2014",,"Qixi Festival/Chilseok 2014",,"National Batik Day 2014","Day of the Dead 2014","UAE National Day 2014"
2014,3,,"Anniversary of the coldest temperature ever recorded in Canada","Girls' Day",,,,,"Birgit Cullberg's 106th Birthday",,"Kenojuak Ashevak's 87th Birthday","Panama Independence Day 2014","Doodle 4 Google 2014 - South Africa Winner"
2014,4,,,"Hatsusaburo Yoshida's 130th Birthday (born 1884)",,"Audrey Hepburn's 85th Birthday","Julija Beniuševi?i?t?-Žymantien?'s 169th Birthday","World Cup 2014 #50","Maria Zankovetska's 160th Birthday","Juliusz Slowacki's 205th Birthday",,"U.S. Elections 2014",
2014,5,,,"Giambattista Tiepolo's 318th Birthday (born 1696)",,"Children's Day 2014 - Korea","Denmark National Day 2014","World Cup 2014 #53",,,"Brazilian Elections 2014",,"Lina Bo Bardi's 100th Birthday"
2014,6,"Holiday Series 1 - Eastern Europe","Doodle 4 Google - Ukraine winner","Ghana Independence Day 2014","Cricket T20 World Cup 2014 Final","Israel Independence Day 2014","Honinbo Shusaku's 185th Birthday","Teacher's Day 2014 (Peru)","Anna Castelli Ferrieri's 94th Birthday",,"Thor Heyerdahl's 100th Birthday","Loy Kra Thong Day 2014","Finland Independence Day 2014"
2014,7,"Zora Neale Hurston's 123rd Birthday","2014 Winter Olympics",,"Victoria Ocampo's 124th Birthday (born 1890)","South Africa Elections 2014",,"Tanabata 2014",,"Brazil Independence Day 2014",,"Cecília Meireles's 113th Birthday","Akiko Yosano's 136th Birthday"
2014,8,,,"International Women's Day 2014","Dionisios Solomos's 216th Birthday","Parents' Day 2014 - Korea",,"World Cup 2014 #56","Father's Day 2014 (Taiwan)","Mid Autumn Festival 2014 (Vietnam)","Croatian Independence Day 2014",,"Mothers Day 2014 (Panamá)"
2014,9,"Simone de Beauvoir's 106th Birthday",,"Taras Shevchenko's 200th Birthday (born 1814)",,"Sophie Scholl's 93rd Birthday","Doodle 4 Google 2014 - US Winner","World Cup 2014 #59","Singapore National Day 2014","Leo Tolstoy's 186th Birthday","Hangul Proclamation Day 2014","25th Anniversary of the fall of the Berlin Wall",
2014,10,"Annette von Droste-Hülshoff's 217th Birthday","Raicho Hiratsuka's 128th Birthday",,,,,"World Cup 2014 #60","Turkey Presidential Elections 2014","Children's Day 2014 (Honduras)","R. K. Narayan's 108th Birthday","Zofia Na?kowska's 130th Birthday",
2014,11,,,,"Percy Julian's 115th Birthday","Mother's Day 2014 (International)",,,"Tu B'av 2014","Teacher's Day 2014 (Argentina)",,"Veterans Day 2014","Annie Jump Cannon's 151st Birthday"
2014,12,"Doodle 4 Google 2014 - Poland Winner","Clara Campoamor's 126th Birthday",,"D4G Russia Winner","Dorothy Hodgkin's 104th Birthday","World Cup 2014 #1","World Cup 2014 #61","Perseid Meteor Shower 2014 (US)","Ernesto Carneiro Ribeiro's 175th Birthday","Children's Day 2014 (Brazil)","Philae robotic lander lands on comet 67P/Churyumov–Gerasimenko","Kenya Independence Day 2014"
2014,13,,"Sarojini Naidu's 135th Birthday",,,,"World Cup 2014 #5","World Cup 2014 - Final","Ivan Sechenov's 185th Birthday","Laura Secord's 239th Birthday",,"Seok Joo-myung's 106th Birthday",
2014,14,,"Valentine's Day 2014 (US)",,"Averroes' 888th Birthday (born 1126)",,"World Cup 2014 #8","World Cup 2014 #63 - Germany","Pakistan Independence Day 2014","Sweden Elections 2014","Stella Maria Sarah Miles Franklin's 135th Birthday","Children's Day/Doodle 4 Google 2014 - India Winner","Raj Kapoor's 90th Birthday"
2014,15,"The 255th anniversary of the British Museum","Serbia National Day 2014","Hungarian revolution day",,"Teachers Day 2014 - Mexico","World Cup 2014 #9 and Father's Day","Emmeline Pankhurst's 156th Birthday","Mother's Day 2014 (Costa Rica)","Respect for the Aged Day 2014",,,"40th anniversary of the Cycleway program"
2014,16,"Dian Fossey's 82nd Birthday","Lithuania Act of Independence 2014",,,"Maria Gaetana Agnesi's 296th Birthday","World Cup 2014 #13",,"Diana Wynne Jones' 80th Birthday","Mexico Independence Day 2014",,,"Wassily Kandinsky's 148th Birthday"
2014,17,"Tomás Carrasquilla's 155th Birthday","Andrew Barton ""Banjo"" Paterson's 150th Birthday (born 1864)","St. Patrick's Day 2014","The Peak District becomes Britain's 1st National Park","Norway's 200th Year of Independence","World Cup 2014 #14",,"Indonesia Independence Day 2014",,,"25th Anniversary of the Velvet Revolution",
2014,18,,"Ertem Egilmez's 85th Birthday (born 1929)","Nikolai Rimsky-Korsakov's 170th Birthday (born 1844)","Ivana Brli? Mažurani?'s 140th Birthday (born 1874)",,"World Cup 2014 #17","Nelson Mandela's 96th Birthday","Anna Ancher's 155th Birthday","204th anniversary of the First Government Assembly in Chile",,"Morocco Independence Day 2014","Henrietta Edwards' 165th Birthday"
2014,19,,"Gabriele Münter's 137th Birthday","José Sabogal's 125th Birthday",,"Rubik's Cube","World Cup 2014 #19",,,,"Mother's Day 2014 (Argentina)","Ofra Haza's 57th Birthday",
2014,20,"Martin Luther King Jr. Day 2014",,"Tunisia Independence Day",,,"World Cup 2014 #20","Sohair El-Qalamawy's 103rd Birthday",,"New Zealand Elections 2014","Christopher Wren's 382nd Birthday","Corita Kent's 96th Birthday",
2014,21,"Grandmother's Day 2014",,"Nowruz 2014","Charlotte Brontë's 198th Birthday (born 1816)","Mary Anning's 215th Birthday","World Cup 2014 #22","Vasile Alecsandri's 193rd Birthday",,,,,"Winter Solstice 2014 (Northern Hemisphere)"
2014,22,"Grandfather's Day 2014",,"Agnes Martin 102nd Birthday","Earth Day 2014","European Parliament Election 2014 (Day 1)","World Cup 2014 #26","Zubir Said's 107th Birthday",,,,"Lebanon Independence Day 2014","Mother's Day 2014 (Indonesia)"
2014,23,"Doodle 4 Google 2014 - Slovenia Winner",,"Election Day 2014 (FR)","St. George's Day","Otto Lilienthal's 166th Birthday","World Cup 2014 #27","Opening of Glasgow Commonwealth Games","25th Anniversary of the Baltic Way","Saudi National Day 2014",,,"Holidays 2014 (Day 1)"
2014,24,,,"Dorothy Irene Height's 102nd Birthday (born 1912)","Jan Karski's 100th Birthday (born 1914)",,"World Cup 2014 #30","Robot Taekwon V's 38th Birthday","Ukraine Independence Day 2014","60th anniversary of the unveiling of the first Routemaster bus","1 Month Anniversary of Mangalyaan Entering Mars' Orbit","Henri de Toulouse Lautrec's 150th Birthday","Holidays 2014 (Day 2)"
2014,25,,"Kuwait National Day 2014",,,"Mother's Day 2014 (Tunisia, Morocco, Algeria)","World Cup 2014 #33",,"Uruguay Independence Day 2014",,,,"Holidays 2014 (Day 3)"
2014,26,"India Republic Day 2014","Hassan Alaeddine (Chocho)'s 75th Birthday (born 1939)","Doodle 4 Google winner - Ireland","King's Day 2014","Mother's Day 2014 - Poland","World Cup 2014 #36",,"Julio Cortázar's 100th Birthday",,"Brazil Elections 2014 (Second Round)",,
2014,27,"Eugène Viollet-le-Duc's 200th Birthday","John Steinbeck’s 112th Birthday",,"South Africa Freedom Day","Rachel Louise Carson's 107th Birthday",,"Father's Day 2014 (Dominican Republic)",,"Google's 16th Birthday",,"Thanksgiving 2014",
2014,28,,"André Franquin's 57th Anniversary of Gaston Lagaffe",,"Cinecittà's 77 anniversary",,"World Cup 2014 #38","Peru Independence Day 2014","Sheridan Le Fanu's 200th Birthday",,"Jonas Salk's 100th Birthday",,
2014,29,,,,"Ustad Alla Rakha's 95th Birthday","Norman Frederick Hetherington's 93rd Birthday","World Cup 2014 #41",,,,"Turkish Republic Day 2014","Taiwan Elections 2014",
2014,30,,,"Turkey Elections 2014","Childrens Day 2014 - Mexico","35th Anniversary of Nezha Conquers the Dragon King","World Cup 2014 #44","Salvador Novo's 110th Birthday",,,"Maria Izquierdo's 112th Birthday","Saint Andrew's Day 2014",
2014,31,"Lunar New Year 2014 - Vietnam",,"Octavio Paz's 100th Birthday (born 1914)",,,,,"Malaysia Independence Day 2014",,"Halloween 2014",,"New Year's Eve 2014"
2015,1,"New Year's Day 2015","Langston Hughes’ 113th Birthday","St. David's Day 2015",,"Labour Day 2015","Nargis’ 86th Birthday","Canada Day 2015","Swiss National Day 2015","Google's New Logo",,,
2015,2,,"Chen Cheng-po's 120th Birthday",,,"Ki Hajar Dewantara’s 126th Birthday","Tapio Wirkkala’s 100th Birthday",,,,,,
2015,3,,"Setsubun 2015","Girls' Day 2015",,"Mother's Day 2015 (ES, HU, LT, PT)",,,,,,,
2015,4,,,,"Children's Day 2015 (Taiwan, Hong Kong)","Bartolomeo Cristofori’s 360th Birthday",,"Fourth of July 2015",,"Joan Aiken’s 91st Birthday",,,
2015,5,,"Gabriel Vargas’ 100th Birthday","Momofuku Ando’s 105th Birthday",,"Nellie Bly's 151st Birthday","Zuzu Angel’s 94th Birthday","Venezuela National Day 2015","101st Anniversary of the First Electric Traffic Signal System","Teacher's Day 2015 (India)",,,
2015,6,"Victor Horta’s 154th Birthday",,"Holi Festival 2015","Leonora Carrington’s 98th Birthday",,"Teacher's Day 2015 (Bolivia)","FIFA Women's World Cup 2015 Winner (US)","Jamaica Independence Day 2015","Father's Day 2015 (Australia, New Zealand)",,,
2015,7,,"Laura Ingalls Wilder’s 148th Birthday",,"Mother's Day 2015 (Armenia)","United Kingdom Elections 2015","Mexico Elections 2015","Eiji Tsuburaya’s 114th Birthday",,"Brazil's Independence Day 2015",,,
2015,8,,,"International Women's Day 2015",,"Teacher's Day 2015 (Puerto Rico)",,,"Latifa al-Zayyat’s 92nd Birthday","Macedonia Independence Day 2015",,,
2015,9,,,,,,,"Argentina National Day 2015","Father's Day 2015 (Brazil)","Tahia Halim’s 96th Birthday",,,
2015,10,"Children's Day 2015 (Thailand)",,,,"Poland Elections 2015","Portugal National Day 2015",,"Lee Tai-young’s 101st Birthday","Google Gameday Doodle Kickoff",,,
2015,11,,"Zden?k Burian’s 110th Birthday",,,,"Copa América 2015",,"Gustavo Cerati’s 56th Birthday","Singapore Elections 2015",,,
2015,12,"11th Anniversary of Kimani Maruge's First Day of School",,,,,"Valentine's Day 2015 (Brazil)","40th Anniversary of the National Monument of Indonesia","Mother's Day 2015 (Thailand)",,,,
2015,13,,"Ivan Andreyevich Krylov’s 246th Birthday",,"Teacher's Day 2015 (Ecuador)","Inge Lehmann’s 127th Birthday",,"Ehud Manor’s 74th Birthday",,"Google Gameday Doodle #1",,,
2015,14,,"Valentine's Day 2015",,"Khmer New Year 2015","Father's Day 2015 (Germany)","Father's Day 2015 (Austria)","New Horizons Pluto flyby","Pakistan Independence Day 2015",,,,
2015,15,,"Cricket World Cup 2015 - India vs. Pakistan","Shadi Abdel Salam’s 85th Birthday","Start of Asparagus Season 2015","Teacher's Day 2015 (Mexico)","Edvard Grieg’s 172nd Birthday",,"Mother's Day 2015 (Costa Rica)","Nicaragua National Day 2015",,,
2015,16,"Teacher's Day 2015 (Thailand)","Rosenmontag 2015","Anna Atkins' 216th Birthday",,"Teacher's Day 2015 (Malaysia)",,"Ida B. Wells' 153rd Birthday","Children's Day 2015 (Argentina)",,,,
2015,17,,"Carnival 2015","St. Patrick's Day 2015","Cevat ?akir Kabaa?açl?’s 125th Birthday","Norway National Day 2015","Father's Day 2015 (Guatemala, El Salvador)",,"Indonesia Independence Day 2015",,,,
2015,18,,"Alessandro Volta’s 270th Birthday","Cricket World Cup 2015 - Quarterfinals #1 - Sri Lanka vs. South Africa",,,"Denmark Elections 2015",,"Russian Geographical Society's 170th anniversary",,,,
2015,19,"Martin Luther King, Jr. Day 2015","Lunar New Year 2015 (Vietnam)","Father's Day 2015 (IT, ES, BO, HN, HR, PT, MZ)","Finland Parliamentary Elections 2015","45th Anniversary of the creation of Barbapapa",,"Children's Day 2015 (Panama)",,,,,
2015,20,"Ji Hyeonok’s 56th Birthday",,"Tunisia National Day 2015",,,"Dragon Boat Festival 2015","Giorgio Morandi’s 125th Birthday","Qixi Festival/Chilseok 2015",,,,
2015,21,"Grandmother's Day 2015 (Poland)",,"Nowruz 2015","81st Anniversary of the Loch Ness Monster's most famous photograph",,"Winter Solstice 2015 (Brazil)","Belgium National Day 2015",,,,,
2015,22,"Grandfather's Day 2015 (Poland)",,"French Elections 2015","Earth Day 2015",,"Teacher's Day 2015 (El Salvador)",,,,,,
2015,23,,,"Emmy Noether's 133rd Birthday","Yom Ha'atzmaut 2015","Eurovision Song Contest 2015 Final","Father's Day 2015 (Poland, Nicaragua)","Children's Day 2015 (Indonesia)","Mundaneum co-founder Paul Otlet's 147th Birthday",,,,
2015,24,,"Rosalía de Castro’s 178th Birthday","Cricket World Cup 2015 - Semifinals #1 - New Zealand vs. South Africa","Doodle 4 Google 2015 — Russia Winner",,"Copa América 2015 - Quarterfinals #1 - Chile v Uruguay",,"Ukraine Independence Day 2015",,,,
2015,25,"Youssef Chahine’s 89th Birthday",,"Mother's Day 2015 (Slovenia)","Children's Day 2015 (Colombia)","Jordan National Day 2015","Teacher's Day 2015 (Guatemala)","Special Olympics World Games 2015","Uruguay Independence Day 2015",,,,
2015,26,"India Republic Day 2015","José Mauro de Vasconcelos’ 95th Birthday","Hwang Sun-won’s 100th Birthday",,"Sally Ride’s 64th Birthday","Copa América 2015 - Quarterfinals #3 - Argentina v Colombia","Grandparents Day 2015 (Spain, Portugal)","La Tomatina 70th Anniversary",,,,
2015,27,,,"Tashiro Furukawa’s 170th Birthday","Netherlands King's Day 2015","Mother's Day 2015 (Bolivia)","Copa América 2015 - Quarterfinals #4 - Brazil v Paraguay",,"Halet Çambel’s 99th Birthday",,,,
2015,28,,,"Nigeria Elections 2015",,,,"Peru National Day 2015",,,,,
2015,29,,,"Cricket World Cup 2015 - Finals - Australian Champions",,"Nepal Republic Day 2015","Copa América 2015 - Semifinals #1 - Chile v Peru",,,,,,
2015,30,"Vsevolod Nestayko’s 85th Birthday",,,"Children's Day 2015 (Mexico)",,"Copa América 2015 - Semifinals #2 - Argentina v Paraguay",,,,,,
2015,31,"Concepción Arenal’s 195th Birthday",,"Seif Wanly’s 109th Birthday",,"Mother's Day 2015 (FR, SN, DO, DZ, TN, SE, MA)",,"Tu B'Av 2015","Start of the 2015 US Open Tennis Championship",,,,
